UNITID,INSTNM,CITY,STABBR,ZIP,AccredAgency,INSTURL,NPCURL,sch_deg,HCM2,LATITUDE,LONGITUDE,CCSIZSET,ADM_RATE
188669,The Ailey School,New York,NY,10019-4402,National Association of Schools of Dance Commission on Accreditation,www.alvinailey.org,www.theaileyschool.edu/ailey-school/general-information,Null,0,40.7669,-73.9869,0.0,0.1784
188696,Joffrey Ballet School,New York,NY,10011,National Association of Schools of Dance Commission on Accreditation,www.joffreyballetschool.com,www.joffreyballetschool.com,Null,1,40.7345,-73.9986,0.0,1
383507,Dance Theatre of Harlem Inc,New York,NY,10031-1896,National Association of Schools of Dance Commission on Accreditation,www.dancetheatreofharlem.org,www.dancetheatreofharlem.org,Null,1,40.8292,-73.9438,0.0,0.4783
